2018-03-16,398,550,479.11971957576844
2018-03-19,444,772,631.311903109613
2018-03-26,562,838,710.8172338453389
2018-04-02,159,639,333.8240389374691
2018-04-09,230,539,365.4496812122216
2018-04-16,420,707,577.163133380849
2018-04-23,442,935,760.4030882158445
2018-04-30,522,927,741.2927901136665
2018-05-07,818,1228,1020.1381572424733
2018-05-14,1107,1378,1228.4418054222251
2018-05-21,1059,1425,1226.546760209147
2018-05-28,1111,1482,1274.3848021805568
2018-06-04,1159,1744,1466.1154329562744
2018-06-11,1523,1779,1680.2739850719097
2018-06-18,1619,1929,1795.0943580248954
2018-06-25,1602,1922,1762.4525296017223
2018-07-02,1754,2008,1877.8181098335506
2018-07-09,1895,2048,1980.033182245788
